19-р хороололд 2 өрөө	2 өрөө	132000000.0	39.74 м²	2011	Байхгүй	1 тагттай	Хан-Уул	12	7
Сбд 2 өрөө 49,61м2	2 өрөө	142300000.0	49.61 м²	2022	Байхгүй	1 тагттай	Сүхбаатар	16	8
Вивид апартмент төв аймагт 1 өрөө 43.5м2	1 өрөө	95000000.0	43.5 м²	2023	Байгаа	1 тагттай	Орон нутаг	5	2
Вивид апартмент, төв аймагт 2 өрөө байр	2 өрөө	170000000.0	48.5 м²	2023	Байгаа	1 тагттай	Орон нутаг	5	3
Modni 2 t 7 tuviin hajuud 1 dabhariin 2 uruu bair	2 өрөө	160000000.0	40.0 м²	2012	Байхгүй	1 тагттай	Баянгол	9	1
Бгд 3,4-р хороолол хөгжил хотхоны урд талд 3өрөө байр	3 өрөө	282865000.0	76.45 м²	2008	Байхгүй	Тагтгүй	Баянгол	5	1
Орос 3 сургуулийн хажууд 2 өрөө 57,1m2	2 өрөө	99000000.0	56.13 м²	1990	Байхгүй	1 тагттай	Сүхбаатар	9	9
Akoya residence tower -т 3өрөө орон сууц	3 өрөө	244850000.0	83.0 м²	2022	Байхгүй	1 тагттай	Хан-Уул	16	15
Төмөр замд 57м2 2 өрөө орон сууц	2 өрөө	95000000.0	57.0 м²	1980	Байхгүй	1 тагттай	Баянгол	9	8
Эх нялхасын урд очир хотхонд 2 өрөө	2 өрөө	142300000.0	64.7 м²	2013	Байгаа	1 тагттай	Баянгол	12	4
100 айлд 3 өрөө	3 өрөө	205000000.0	105.0 м²	1998	Байхгүй	2 тагттай	Сүхбаатар	5	4
Crystal town-д бүрэн тавилгатай 3 өрөө орон сууц 79.9m2	3 өрөө	169000000.0	79.9 м²	2020	Байхгүй	1 тагттай	Баянзүрх	16	3
Zaisan luxury village 94 мкв 3 өрөө	3 өрөө	95000000.0	94.0 м²	2011	Байхгүй	1 тагттай	Хан-Уул	6	4
Өгөөмөр хотхонд 42.6 мкв 2 өрөө	2 өрөө	102240000.0	42.6 м²	2022	Байхгүй	1 тагттай	Баянзүрх	13	10
Офицерт 2 өрөө	2 өрөө	345000000.0	36.32 м²	2016	Байхгүй	1 тагттай	Баянзүрх	16	6
Home plaza баруун талд нархан хотхонд 84,5мкв байр	3 өрөө	270000000.0	84.5 м²	2008	Байгаа	2 тагттай	Хан-Уул	6	2
Бгд модны 2т хурд-н одод хотхонд 55,04мкв орон сууц	2 өрөө	240000000.0	55.0 м²	2022	Байхгүй	1 тагттай	Баянгол	23	22
Solar isresidence 77.3 мкв 3 өрөө	3 өрөө	216440000.0	77.3 м²	2023	Байхгүй	1 тагттай	Хан-Уул	20	3
Хангарьд сити2 хотхонд 55.12мк 2 өрөө байр	2 өрөө	240000000.0	55.12 м²	2021	Байхгүй	1 тагттай	Хан-Уул	13	6
Хороололд 2 өрөө байр	2 өрөө	95000000.0	56.0 м²	1990	Байхгүй	1 тагттай	Баянгол	12	7
Nobless апартмент-д 5 өрөө орон сууц	5+ өрөө	1028500000.0	242.0 м²	2005	Байгаа	1 тагттай	Хан-Уул	5	5
Garden villa хотхон 2 өрөө	2 өрөө	146850000.0	48.95 м²	2021	Байхгүй	1 тагттай	Хан-Уул	16	8
25-р эмийн сангийн хажууд кёкюшүзан хотхонд 2 өрөө байр	2 өрөө	95000000.0	56.14 м²	2003	Байхгүй	2 тагттай	Баянгол	9	5
Gandand 2 uruu bair 50m2	2 өрөө	250000000.0	50.0 м²	1992	Байхгүй	1 тагттай	Сүхбаатар	6	3
Содон хороололд 2 өрөө байр	2 өрөө	230000000.0	48.0 м²	2018	Байхгүй	1 тагттай	Сонгино Хайрхан	15	11
Сбд novotel hotel чанх урд 70м2 2 өрөө цоо шинэ орон сууц mogul tower	2 өрөө	95000000.0	70.0 м²	2023	Байхгүй	1 тагттай	Сүхбаатар	16	9
3-р хороолол korea town 36,1мкв 1 өрөө байр	1 өрөө	120000000.0	36.1 м²	2014	Байхгүй	1 тагттай	Баянгол	10	5
Худ 19-р хороолол 67м2 3 өрөө	3 өрөө	205000000.0	67.0 м²	2016	Байхгүй	1 тагттай	Хан-Уул	10	6
